ST_FIP,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,Total_area,Flood,Percentflood,Count of matches
3982222,39,113,82222,2397893,3911382222,Wayne,57587.7776,58200,1.010631117,1
2750506,27,107,50506,2396182,2710750506,Perley,642150.8219,642800,1.001010943,1
2971422,29,33,71422,766421,2903371422,Sugartree,52105714.12,52105200,0.999990133,1
690500,6,113,90500,1935054,611390500,Clarksburg,235395839,235390400,0.999976894,1
2913510,29,33,13510,766406,2903313510,Cherry Valley,45797754.41,45796400,0.999970426,1
3134720,31,53,34720,838161,3105334720,North Bend,2044669.069,2043700,0.999526051,1
1791818,17,157,91818,1928551,1715791818,Kaskaskia,60985261.5,60941000,0.999274226,1
2191918,21,75,91918,1937016,2107591918,Kentucky Bend,48112788.63,48026800,0.99821277,1
1877696,18,163,77696,453937,1816377696,Union,71648248.75,71501400,0.997950421,1
591332,5,145,91332,69830,514591332,Francure,97881197.24,97667700,0.997818812,1
3855620,38,67,55620,1036176,3806755620,Neche,905729.1629,903600,0.997649228,1
3805260,38,67,5260,1035924,3806705260,Bathgate,699317.4393,697600,0.997544121,1
3439390,34,29,39390,885273,3402939390,Lavallette,2496008.972,2486300,0.996110201,1
593210,5,69,93210,66743,506993210,Roberts,96571322.63,96040400,0.994502274,1
3791048,37,95,91048,1026808,3709591048,Fairfield,120827648.6,119988400,0.993054168,1
2950276,29,33,50276,766416,2903350276,Moss Creek,94472582.4,93814900,0.993038378,1
590360,5,55,90360,66615,505590360,Blue Cane,47397525.02,47062400,0.992929483,1
3791728,37,95,91728,2402952,3709591728,Lake Mattamuskeet,2995403.014,2973500,0.992687791,1
2890252,28,55,90252,711890,2805590252,1,552366544.7,548103200,0.992281675,1
591644,5,55,91644,66624,505591644,Hays,24646835.8,24428600,0.991145484,1
691416,6,67,91416,1935070,606791416,Isleton,323936826,320576000,0.989625057,1
2295344,22,113,95344,1930253,2211395344,8,73326393.08,72372700,0.986993863,1
2891305,28,125,91305,712061,2812591305,2,302963761.3,298495500,0.985251499,1
4651720,46,13,51720,1729747,4601351720,Prairiewood,1527330.127,1503700,0.984528474,1
2294938,22,5,94938,1930168,2200594938,6,51173774.59,50359500,0.984088049,1
1860858,18,129,60858,453753,1812960858,Point,119547875.3,117631900,0.983973155,1
