STATEFP,COUNTYFP,ST_FIP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,GEOID +,weighted avg mo,Count of matches
1,1,190171,90171,161593,100190171,Autaugaville,Autaugaville CCD,100190171,11.59574469,1
1,1,190315,90315,165647,100190315,Billingsley,Billingsley CCD,100190315,12,1
1,1,192106,92106,165648,100192106,Marbury,Marbury CCD,100192106,12,1
1,1,192628,92628,165649,100192628,Prattville,Prattville CCD,100192628,11.43631436,1
1,3,190207,90207,161594,100390207,Bay Minette,Bay Minette CCD,100390207,6.142515924,1
1,3,190846,90846,165650,100390846,Daphne,Daphne CCD,100390846,5.915915916,1
1,3,190963,90963,165651,100390963,Elberta,Elberta CCD,100390963,6,1
1,3,191053,91053,165652,100391053,Fairhope,Fairhope CCD,100391053,5.421487603,1
1,3,191152,91152,161595,100391152,Foley,Foley CCD,100391152,5.425093638,1
1,3,192754,92754,161596,100392754,Robertsdale,Robertsdale CCD,100392754,6,1
1,3,193024,93024,161597,100393024,Stockton,Stockton CCD,100393024,8.278985516,1
1,3,193042,93042,165653,100393042,Summerdale,Summerdale CCD,100393042,6,1
1,5,190189,90189,165654,100590189,Bakerhill,Bakerhill CCD,100590189,7.110119048,1
1,5,190630,90630,165655,100590630,Clayton,Clayton CCD,100590630,7.426070038,1
1,5,190648,90648,165656,100590648,Clio,Clio CCD,100590648,8.256716418,1
1,5,191017,91017,161598,100591017,Eufaula,Eufaula CCD,100591017,7.271276595,1
1,5,191989,91989,165657,100591989,Louisville,Louisville CCD,100591989,8.036036036,1
1,7,190531,90531,161599,100790531,Centreville-Brent,Centreville-Brent CCD,100790531,11.99703264,1
1,7,192601,92601,165658,100792601,Piper-Coleanor,Piper-Coleanor CCD,100792601,12.42487047,1
1,7,193438,93438,165659,100793438,West Blocton,West Blocton CCD,100793438,12.87706856,1
1,9,190333,90333,165660,100990333,Blountsville,Blountsville CCD,100990333,9.928,1
1,9,190414,90414,165661,100990414,Brooksville,Brooksville CCD,100990414,9.516,1
1,9,190612,90612,165662,100990612,Clarence,Clarence CCD,100990612,10.42105263,1
1,9,190639,90639,165663,100990639,Cleveland,Cleveland CCD,100990639,10.00813008,1
1,9,191557,91557,165664,100991557,Hayden,Hayden CCD,100991557,10.88475836,1
1,9,191953,91953,165665,100991953,Locust Fork,Locust Fork CCD,100991953,11.26442309,1
1,9,192439,92439,165666,100992439,Oneonta,Oneonta CCD,100992439,10.99244333,1
1,11,191098,91098,165667,101191098,Fitzpatrick,Fitzpatrick CCD,101191098,9.670487105,1
1,11,191701,91701,165668,101191701,Inverness,Inverness CCD,101191701,9.321917807,1
1,11,192133,92133,165669,101192133,Midway,Midway CCD,101192133,7.854800929,1
1,11,193249,93249,165670,101193249,Union Springs,Union Springs CCD,101193249,8.929824561,1
1,13,190540,90540,165671,101390540,Chapman,Chapman CCD,101390540,11,1
1,13,191170,91170,165672,101391170,Forest Home,Forest Home CCD,101391170,11,1
1,13,191314,91314,165673,101391314,Georgiana-McKenzie,Georgiana-McKenzie CCD,101391314,11,1
1,13,191422,91422,165674,101391422,Greenville,Greenville CCD,101391422,10.9601707,1
1,15,190066,90066,165679,101590066,Alexandria-Webster Chapel,Alexandria-Webster Chapel CCD,101590066,11,1
1,15,190099,90099,161600,101590099,Anniston,Anniston CCD,101590099,10.96190476,1
1,15,190585,90585,165675,101590585,Choccolocco,Choccolocco CCD,101590585,10.29387755,1
1,15,191746,91746,165676,101591746,Jacksonville,Jacksonville CCD,101591746,11.00540541,1
1,15,192430,92430,165677,101592430,Ohatchee,Ohatchee CCD,101592430,11.21857924,1
1,15,192556,92556,165678,101592556,Piedmont,Piedmont CCD,101592556,11.77348066,1
1,17,191107,91107,165680,101791107,Five Points,Five Points CCD,101791107,10.45512821,1
1,17,191818,91818,165681,101791818,La Fayette,La Fayette CCD,101791818,10.95309168,1
1,17,191827,91827,165682,101791827,Lanett,Lanett CCD,101791827,10.93641619,1
1,17,192169,92169,165684,101792169,Milltown,Milltown CCD,101792169,10.58173077,1
1,17,193272,93272,165683,101793272,Valley,Valley CCD,101793272,11.11229947,1
1,17,193393,93393,165685,101793393,Waverly,Waverly CCD,101793393,11,1
1,19,190513,90513,165686,101990513,Cedar Bluff-Gaylesville,Cedar Bluff-Gaylesville CCD,101990513,11.38074398,1
1,19,190522,90522,165687,101990522,Centre,Centre CCD,101990522,12.21351351,1
1,19,191854,91854,165688,101991854,Leesburg,Leesburg CCD,101991854,11.64102564,1
1,19,192983,92983,165689,101992983,Spring Garden,Spring Garden CCD,101992983,12.0080429,1
1,21,190603,90603,165690,102190603,Clanton,Clanton CCD,102190603,12,1
1,21,191710,91710,165691,102191710,Isabella-Pletcher,Isabella-Pletcher CCD,102191710,12,1
1,21,191764,91764,165692,102191764,Jemison,Jemison CCD,102191764,12,1
1,21,192097,92097,165693,102192097,Maplesville,Maplesville CCD,102192097,12,1
1,21,192178,92178,165694,102192178,Mineral Springs,Mineral Springs CCD,102192178,11.93382353,1
1,21,193285,93285,165695,102193285,Verbena,Verbena CCD,102193285,12,1
1,23,190441,90441,161601,102390441,Butler,Butler CCD,102390441,12.14116095,1
1,23,191332,91332,165696,102391332,Gilbertown-Toxey,Gilbertown-Toxey CCD,102391332,11.23287671,1
