OBJECTID,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,NEAR_FID,NEAR_DIST
11208,23,029,57090,00582665,2302957090,Passamaquoddy Pleasant Point,Passamaquoddy Pleasant Point Reservation,3993,0.62954969365
11210,24,047,90551,02634711,2404790551,"6, Northern","District 6, Northern",3993,0.85218289504
20144,34,029,43380,00885290,3402943380,Mantoloking,Mantoloking borough,3993,4.66440151239
10269,22,113,95449,01930287,2211395449,9,District 9,3993,4.70786875929
34560,55,003,42562,01583529,5500342562,La Pointe,La Pointe town,1956,6.94337477409
26853,42,045,76792,01216393,4204576792,Tinicum,Tinicum township,3993,8.85833401323
11810,25,019,43790,00619376,2501943790,Nantucket,Nantucket town,1734,12.21320282980
16005,27,021,24686,00664302,2702124686,Gould,Gould township,1970,13.89984149220
2724,12,085,93250,01935940,1208593250,Stuart,Stuart CCD,3993,15.88977627120
10975,23,009,43578,02378263,2300943578,Marshall Island,Marshall Island UT,1943,16.11017831490
2773,12,075,90468,01935717,1207590468,Cedar Key-Yankeetown,Cedar Key-Yankeetown CCD,3993,16.74536017680
11696,25,007,50390,00619442,2500750390,Oak Bluffs,Oak Bluffs town,1731,20.90918150170
2575,12,081,92600,01935887,1208192600,Palmetto,Palmetto CCD,3993,21.20740420300
35557,55,029,04325,01582742,5502904325,Baileys Harbor,Baileys Harbor town,1785,22.51161553270
21651,37,095,92372,01026810,3709592372,Ocracoke,Ocracoke township,1578,22.70609681820
10234,22,101,94513,01929977,2210194513,3,District 3,3993,23.98655187590
35277,55,007,05350,01582764,5500705350,Bayfield,Bayfield city,2071,26.90785958260
26684,42,045,13208,01215175,4204513208,Chester,Chester city,3993,29.32732801000
32926,51,103,91241,01952577,5110391241,1,District 1,3993,30.71626544490
20143,34,029,39390,00885273,3402939390,Lavallette,Lavallette borough,3993,32.01605235390
32492,50,011,61750,01462197,5001161750,St. Albans,St. Albans town,1950,33.64184743310
20108,34,009,71010,00885410,3400971010,Stone Harbor,Stone Harbor borough,3993,34.53270590500
25473,39,123,12588,01086758,3912312588,Catawba Island,Catawba Island township,1745,38.18540771130
22106,37,139,92804,01027028,3713992804,Salem,Salem township,3993,38.96410513810
14896,27,095,32516,00664603,2709532516,Kathio,Kathio township,1839,41.08411295970
20245,34,025,31500,00885253,3402531500,Highlands,Highlands borough,3993,47.66395353510
1880,06,041,92200,01935225,0604192200,Northwest Marin,Northwest Marin CCD,3993,50.08859377380
22044,37,137,93412,01027021,3713793412,4,Township 4,3993,53.88208202810
11120,23,005,10180,00582387,2300510180,Cape Elizabeth,Cape Elizabeth town,3993,54.94749300000
33074,51,073,93735,01927329,5107393735,Gloucester Point,Gloucester Point district,3993,55.87505637810
2716,12,087,93471,01935959,1208793471,Upper Keys,Upper Keys CCD,1230,57.49065784530
34717,55,101,87700,01584453,5510187700,Wind Point,Wind Point village,1844,60.10903320970
12924,26,069,24420,01626209,2606924420,East Tawas,East Tawas city,1763,65.32533573460
10984,23,009,30970,00582509,2300930970,Hancock,Hancock town,3993,65.78960785600
2785,12,021,92048,01935842,1202192048,Marco Island,Marco Island CCD,1257,66.83631423400
11055,23,009,05700,00582357,2300905700,Blue Hill,Blue Hill town,3993,72.66683334390
13792,27,137,32252,02397817,2713732252,Kabetogama,Kabetogama township,2053,76.44812807500
2667,12,131,93542,02583401,1213193542,Walton Beaches,Walton Beaches CCD,3993,78.74883725390
21327,36,065,77486,00979586,3606577486,Vienna,Vienna town,1758,81.40658791490
11009,23,029,15920,00582429,2302915920,Cutler,Cutler town,3993,87.17397781780
11367,24,047,90276,01929575,2404790276,"3, Sinepuxent","District 3, Sinepuxent",1656,88.00903726810
32188,48,489,93435,01939169,4848993435,San Perlita,San Perlita CCD,3993,92.08719648120
10678,23,015,46335,00582600,2301546335,Monhegan,Monhegan plantation,1840,106.16070671000
26754,42,045,47344,01215186,4204547344,Marcus Hook,Marcus Hook borough,3993,109.66882044800
19576,33,015,50980,00873676,3301550980,New Castle,New Castle town,3993,109.80313290700
14701,27,035,23192,02394859,2703523192,Garrison,Garrison city,1839,110.65651954200
11337,24,041,90172,01929539,2404190172,"2, St. Michaels","District 2, St. Michaels",3993,111.12559456300
20269,34,025,74540,00885423,3402574540,Union Beach,Union Beach borough,3993,112.21203636600
26830,42,045,22296,01215182,4204522296,Eddystone,Eddystone borough,3993,114.52464877800
35553,55,009,72200,01584113,5500972200,Scott,Scott town,1844,116.74023391200
13256,26,099,57100,01626796,2609957100,New Baltimore,New Baltimore city,1716,120.77514695100
21017,36,123,38583,00979107,3612338583,Jerusalem,Jerusalem town,1736,123.22621914600
2748,12,035,91092,01935766,1203591092,Flagler Beach,Flagler Beach CCD,3993,127.44735644500
11744,25,009,68645,00618311,2500968645,Swampscott,Swampscott town,3993,132.04414204400
1837,06,037,92920,01935297,0603792920,Santa Monica,Santa Monica CCD,3993,132.49844447800
35561,55,029,28300,01583256,5502928300,Gardner,Gardner town,1844,133.52823198200
11036,23,013,51620,00582633,2301351620,North Haven,North Haven town,1941,133.53881728000
35273,55,007,83525,01584349,5500783525,Washburn,Washburn city,2071,145.40646218200
23978,38,061,74515,01036280,3806174515,Southwest Mountrail,Southwest Mountrail UT,2032,146.40728914600
20151,34,029,66450,00885390,3402966450,Seaside Heights,Seaside Heights borough,3993,146.57242963800
13276,26,063,70140,01627014,2606370140,Rubicon,Rubicon township,1815,146.66379080600
