iMISID,ID,q1a,q1d,q6,q6c,UJURIS,UJURIS1,UPO,USTATE,STATE_TITLE,UZIP,UTYPE,UID,UPOP, U00POP , EST_CENSUS_POP ,EST_CENSUS_YEAR,UGRAPH,UREGN,UMETRO,UFOG,ICMA_REGION_CODE,USTATE#,UCNTY#,FIPS_PLACE_ID,ST_FIP
174284,174284,3,2,1,1,Township of Aberdeen,"ABERDEEN, TOWNSHIP OF",Aberdeen,NJ,New Jersey,07747-2300,1,4,6,"17,454","18,390",2008,2,1,2,2,NE,34,25,70,3470
149091,149091,2,1,1,0,City of Abilene,"ABILENE, CITY OF",Abilene,KS,Kansas,67410-0519,1,1,7,"6,543","6,400",2008,4,2,3,2,MP,20,41,125,20125
170542,170542,3,2,2,0,Town of Acton,"ACTON, TOWN OF",Acton,MA,Massachusetts,1720,1,2,6,"20,331","20,797",2008,1,1,2,4,NE,25,17,380,25380
207584,207584,2,1,1,0,City of Adrian,"ADRIAN, CITY OF",Adrian,MI,Michigan,49221-2720,1,1,6,"21,574","21,391",2008,3,2,3,2,MW,26,91,440,26440
189390,189390,2,2,1,0,City of Albion,"ALBION, CITY OF",Albion,MI,Michigan,49224-1731,1,1,7,"9,144","9,103",2008,3,2,2,2,MW,26,25,980,26980
188247,188247,2,1,1,0,City of Algonac,"ALGONAC, CITY OF",Algonac,MI,Michigan,48001-0454,1,1,8,"4,613","4,540",2008,3,2,2,2,MW,26,147,1180,261180
189221,189221,3,2,1,0,City of Allegan,"ALLEGAN, CITY OF",Allegan,MI,Michigan,49010-1302,1,1,8,"4,838","4,816",2008,3,2,3,2,MW,26,5,1260,261260
170261,170261,3,4,,0,Town of Amherst,"AMHERST, TOWN OF",Amherst,MA,Massachusetts,01002-2301,1,2,5,"34,874","35,565",2008,1,1,3,5,NE,25,15,1325,251325
174353,174353,3,1,1,1,Township of Andover,"ANDOVER, TOWNSHIP OF",Newton,NJ,New Jersey,07860-2746,1,4,7,"6,033","6,531",2008,2,1,3,2,NE,34,37,1360,341360
192162,192162,3,1,1,0,City of Andover,"ANDOVER, CITY OF",Andover,MN,Minnesota,55304-2612,1,1,5,"26,588","30,442",2008,4,2,2,2,MW,27,3,1486,271486
189038,189038,3,3,1,0,City of Alma,"ALMA, CITY OF",Alma,MI,Michigan,48801-0278,1,1,7,"9,275","9,223",2008,3,2,3,2,MW,26,57,1540,261540
191688,191688,3,1,1,1,City of Altoona,"ALTOONA, CITY OF",Altoona,WI,Wisconsin,54720-0008,1,1,7,"6,698","6,753",2008,3,2,2,2,MW,55,35,1550,551550
171065,171065,3,3,2,0,Town of Arlington,"ARLINGTON, TOWN OF",Arlington,MA,Massachusetts,02476-4906,1,2,5,"42,389","40,993",2008,1,1,2,2,NE,25,17,1605,251605
191395,191395,3,1,1,0,City of Amery,"AMERY, CITY OF",Amery,WI,Wisconsin,54001-1024,1,1,8,"2,845","2,777",2008,3,2,3,1,MW,55,95,1725,551725
189719,189719,2,1,1,0,City of Alpena,"ALPENA, CITY OF",Alpena,MI,Michigan,49707-2864,1,1,6,"11,304","10,465",2008,3,2,3,2,MW,26,7,1740,261740
332175,332175,2,2,2,0,Township of Alpine,"ALPINE, TOWNSHIP OF",Comstock Park,MI,Michigan,49321-9768,1,4,6,"13,976","13,764",2008,3,2,2,1,MW,26,81,1840,261840
191556,191556,2,2,1,1,City of Antigo,"ANTIGO, CITY OF",Antigo,WI,Wisconsin,54409-1955,1,1,7,"8,560","7,917",2008,3,2,3,1,MW,55,67,2250,552250
196967,196967,1,1,1,0,City of Arkansas City,"ARKANSAS CITY, CITY OF",Arkansas City,KS,Kansas,67005-0778,1,1,6,"11,963","11,070",2008,4,2,3,2,MP,20,35,2300,202300
178105,178105,2,1,2,1,Township of Amity,"AMITY, TOWNSHIP OF",Douglassville,PA,Pennsylvania,19518-8971,1,4,7,"8,867","11,785",2008,2,1,2,2,NE,42,11,2328,422328
171874,171874,3,2,2,0,Town of Atkinson,"ATKINSON, TOWN OF",Atkinson,NH,New Hampshire,03811-2204,1,2,7,"6,178","6,563",2008,1,1,2,4,NE,33,15,2340,332340
186826,186826,2,1,1,1,City of Ashland,"ASHLAND, CITY OF",Ashland,OH,Ohio,44805,1,1,6,"21,249","21,850",2008,3,2,3,1,MW,39,5,2568,392568
103281,103281,3,1,2,0,Town of Auburn,"AUBURN, TOWN OF",Auburn,NH,New Hampshire,03032-0309,1,2,8,"4,682","5,162",2008,1,1,2,4,NE,33,15,2820,332820
177561,177561,3,1,2,0,Borough of Archbald,"ARCHBALD, BOROUGH OF",Archbald,PA,Pennsylvania,18403-2100,1,5,7,"6,220","6,488",2008,2,1,2,1,NE,42,69,2832,422832
196611,196611,4,1,1,0,City of Atchison,"ATCHISON, CITY OF",Atchison,KS,Kansas,66002-2424,1,1,6,"10,232","10,402",2008,4,2,3,2,MP,20,5,2900,202900
188444,188444,4,3,1,1,City of Ann Arbor,"ANN ARBOR, CITY OF",Ann Arbor,MI,Michigan,48104,1,1,3,"114,024","114,386",2008,3,2,1,2,MW,26,161,3000,263000
191721,191721,2,1,1,0,City of Ashland,"ASHLAND, CITY OF",Ashland,WI,Wisconsin,54806-1563,1,1,7,"8,620","8,118",2008,3,2,3,1,MW,55,3,3225,553225
172805,172805,2,2,1,0,Town of Barre,"BARRE, TOWN OF",Websterville,VT,Vermont,05678-0116,1,2,7,"7,602","8,005",2008,1,1,3,2,NE,50,23,3250,503250
148803,148803,2,1,1,0,City of Augusta,"AUGUSTA, CITY OF",Augusta,KS,Kansas,67010-0489,1,1,7,"8,423","8,693",2008,4,2,2,2,MP,20,15,3300,203300
176401,176401,2,1,2,0,Borough of Avalon,"AVALON, BOROUGH OF",Avalon,PA,Pennsylvania,15202-2499,1,5,7,"5,294","4,812",2008,2,1,2,2,NE,42,3,3608,423608
207600,207600,4,4,2,0,City of Belfast,"BELFAST, CITY OF",Belfast,ME,Maine,04915-6503,1,1,7,"6,381","6,721",2008,1,1,3,2,NE,23,27,3950,233950
135126,135126,,1,1,0,City of Auburn Hills,"AUBURN HILLS, CITY OF",Auburn Hills,MI,Michigan,48326-2749,1,1,6,"19,837","20,931",2008,3,2,2,2,MW,26,125,4105,264105
172919,172919,3,2,1,0,Town of Berlin,"BERLIN, TOWN OF",Kensington,CT,Connecticut,06037-2655,1,2,6,"18,215","20,364",2008,1,1,2,4,NE,9,3,4300,94300
171634,171634,3,1,2,0,Town of Bedford,"BEDFORD, TOWN OF",Bedford,NH,New Hampshire,03110-5404,1,2,6,"18,274","21,122",2008,1,1,2,2,NE,33,11,4500,334500
170551,170551,2,2,1,1,Town of Bedford,"BEDFORD, TOWN OF",Bedford,MA,Massachusetts,01730-2144,1,2,6,"12,595","13,545",2008,1,1,2,4,NE,25,17,4615,254615
140582,140582,2,2,1,1,City of Becker,"BECKER, CITY OF",Becker,MN,Minnesota,55308-0250,1,1,8,"2,673","4,176",2008,4,2,2,2,MW,27,141,4618,274618
175502,175502,4,2,1,0,City of Beacon,"BEACON, CITY OF",Beacon,NY,New York,12508-2526,1,1,6,"13,808","14,566",2008,2,1,2,1,NE,36,27,5100,365100
187171,187171,2,1,1,0,City of Bellbrook,"BELLBROOK, CITY OF",Bellbrook,OH,Ohio,45305-0285,1,1,7,"7,009","7,000",2008,3,2,2,2,MW,39,57,5102,395102
348362,348362,3,1,1,0,City of Bel Aire,"BEL AIRE, CITY OF",Bel Aire,KS,Kansas,67226-7600,1,1,7,"5,836","6,797",2008,4,2,2,2,MP,20,173,5337,205337
149434,149434,2,1,1,0,City of Blair,"BLAIR, CITY OF",Blair,NE,Nebraska,68008-2010,1,1,7,"7,512","7,789",2008,4,2,2,1,MP,31,177,5350,315350
191162,191162,4,1,2,1,Village of Bayside,"BAYSIDE, VILLAGE OF",Bayside,WI,Wisconsin,53217-1802,1,3,8,"4,518","4,232",2008,3,2,2,2,MW,55,79,5450,555450
303380,303380,2,2,1,1,City of Big Lake,"BIG LAKE, CITY OF",Big Lake,MN,Minnesota,55309-7500,1,1,7,"6,063","9,795",2008,4,2,2,2,MW,27,141,5752,275752
105109,105109,2,2,2,0,Town of Bloomfield,"BLOOMFIELD, TOWN OF",Bloomfield,CT,Connecticut,06002-2460,1,2,6,"19,587","20,727",2008,1,1,2,2,NE,9,3,5910,95910
412995,412995,2,1,2,0,Township of Bethel,"BETHEL, TOWNSHIP OF",Tipp City,OH,Ohio,45371-9713,1,4,8,"4,972","5,103",2008,3,2,2,2,MW,39,109,6110,396110
191211,191211,3,2,1,1,City of Beloit,"BELOIT, CITY OF",Beloit,WI,Wisconsin,53511-6234,1,1,5,"35,775","36,160",2008,3,2,1,2,MW,55,105,6500,556500
178100,178100,2,1,1,0,Borough of Birdsboro,"BIRDSBORO, BOROUGH OF",Birdsboro,PA,Pennsylvania,19508-2025,1,5,7,"5,064","5,168",2008,2,1,2,2,NE,42,11,6504,426504
208911,208911,2,1,,0,Town of Beloit,"BELOIT, TOWN OF",Beloit,WI,Wisconsin,53511-8666,1,2,7,"7,038","7,504",2008,3,2,2,2,MW,55,105,6525,556525
175854,175854,4,4,,0,City of Binghamton,"BINGHAMTON, CITY OF",Binghamton,NY,New York,13901-3709,1,1,5,"47,380","44,729",2008,2,1,1,1,NE,36,7,6607,366607
197644,197644,,1,1,0,City of Broken Bow,"BROKEN BOW, CITY OF",Broken Bow,NE,Nebraska,68822-0504,1,1,8,"3,491","3,154",2008,4,2,3,1,MP,31,41,6610,316610
192471,192471,3,2,,1,City of Bloomington,"BLOOMINGTON, CITY OF",Bloomington,MN,Minnesota,55431-3071,1,1,4,"85,172","81,280",2008,4,2,2,2,MW,27,53,6616,276616
174750,174750,3,2,1,0,City of Bordentown,"BORDENTOWN, CITY OF",Bordentown,NJ,New Jersey,08505-1709,1,1,8,"3,969","3,817",2008,2,1,2,3,NE,34,5,6670,346670
193068,193068,2,1,1,0,City of Brandon,"BRANDON, CITY OF",Brandon,SD,South Dakota,57005-0095,1,1,7,"5,693","8,757",2008,4,2,2,1,MP,46,99,6840,466840
188459,188459,2,1,1,0,City of Belleville,"BELLEVILLE, CITY OF",Belleville,MI,Michigan,48111-2736,1,1,8,"3,997","3,556",2008,3,2,2,2,MW,26,163,7020,267020
172005,172005,2,1,2,1,Town of Bridgton,"BRIDGTON, TOWN OF",Bridgton,ME,Maine,4009,1,2,8,"4,883","5,442",2008,1,1,3,4,NE,23,5,7170,237170
142479,142479,3,2,1,0,City of Bismarck,"BISMARCK, CITY OF",Bismarck,ND,North Dakota,58506-5503,1,1,4,"55,532","60,389",2008,4,2,1,3,MP,38,15,7200,387200
192965,192965,4,2,1,1,City of Brainerd,"BRAINERD, CITY OF",Brainerd,MN,Minnesota,56401-3595,1,1,6,"13,178","13,691",2008,4,2,3,2,MW,27,35,7300,277300
193073,193073,2,2,1,1,City of Brookings,"BROOKINGS, CITY OF",Brookings,SD,South Dakota,57006-0270,1,1,6,"18,504","19,865",2008,4,2,3,3,MP,46,11,7580,467580
108104,108104,2,2,1,0,Borough of Brielle,"BRIELLE, BOROUGH OF",Brielle,NJ,New Jersey,08730-0445,1,5,8,"4,893","4,882",2008,2,1,2,1,NE,34,25,7750,347750
174656,174656,4,4,1,0,City of Brigantine,"BRIGANTINE, CITY OF",Brigantine,NJ,New Jersey,08203-2148,1,1,6,"12,594","12,647",2008,2,1,2,2,NE,34,1,7810,347810
192463,192463,4,2,1,1,City of Brooklyn Center,"BROOKLYN CENTER, CITY OF",Brooklyn Center,MN,Minnesota,55430-2113,1,1,5,"29,172","27,402",2008,4,2,2,2,MW,27,53,7948,277948
141033,141033,3,1,1,1,City of Brooklyn Park,"BROOKLYN PARK, CITY OF",Brooklyn Park,MN,Minnesota,55443-4301,1,1,4,"67,388","71,308",2008,4,2,2,2,MW,27,53,7966,277966
196617,196617,2,2,1,0,City of Bonner Springs,"BONNER SPRINGS, CITY OF",Bonner Springs,KS,Kansas,66012-0038,1,1,7,"6,768","7,161",2008,4,2,2,2,MP,20,209,7975,207975
176917,176917,2,1,,0,City of Bradford,"BRADFORD, CITY OF",Bradford,PA,Pennsylvania,16701,1,1,7,"9,175","8,391",2008,2,1,3,2,NE,42,83,8040,428040
189439,189439,3,1,1,1,City of Big Rapids,"BIG RAPIDS, CITY OF",Big Rapids,MI,Michigan,49307-1468,1,1,6,"10,849","10,257",2008,3,2,3,2,MW,26,107,8300,268300
176475,176475,2,1,2,0,Borough of Brentwood,"BRENTWOOD, BOROUGH OF",Brentwood,PA,Pennsylvania,15227,1,5,6,"10,466","9,522",2008,2,1,2,1,NE,42,3,8416,428416
197649,197649,2,1,1,0,City of Central City,"CENTRAL CITY, CITY OF",Central City,NE,Nebraska,68826-0418,1,1,8,"2,998","2,828",2008,4,2,3,1,MP,31,121,8535,318535
188260,188260,3,2,2,0,City of Birmingham,"BIRMINGHAM, CITY OF",Birmingham,MI,Michigan,48012-3001,1,1,6,"19,291","18,932",2008,3,2,2,2,MW,26,125,8640,268640
174731,174731,3,3,1,0,Borough of Buena,"BUENA, BOROUGH OF",Minotola,NJ,New Jersey,08341-1008,1,5,8,"3,873","3,710",2008,2,1,2,1,NE,34,1,8680,348680
192255,192255,4,2,1,1,City of Burnsville,"BURNSVILLE, CITY OF",Burnsville,MN,Minnesota,55337-3867,1,1,4,"60,220","59,139",2008,4,2,2,2,MW,27,37,8794,278794
